time,cloud,temp,humidity,ground_press,wind_speed,wind_dir,rain,snow,dew_point,vis,uv_idx,azimuth,elevation
2023-11-13 01:00:00+09:00,100.0,8.56,60.0,1027.0,11.56,336.0,0.0,0.0,1.11111,16.0934,0.0,31.4567,-70.5808
2023-11-13 02:00:00+09:00,100.0,8.29,61.0,1027.0,11.58,335.0,0.0,0.0,1.11111,16.0934,0.0,59.6896,-61.6516
2023-11-13 03:00:00+09:00,100.0,8.1,62.0,1027.0,10.99,333.0,0.0,0.0,1.11111,16.0934,0.0,75.2959,-50.2584
2023-11-13 04:00:00+09:00,100.0,7.9,65.0,1027.0,10.85,335.0,0.0,0.0,1.66667,16.0934,0.0,85.8603,-38.1173
2023-11-13 05:00:00+09:00,100.0,7.73,66.0,1027.0,10.0,342.0,0.16,0.0,2.22222,16.0934,0.0,94.4364,-25.8128
2023-11-13 06:00:00+09:00,100.0,7.65,68.0,1027.0,9.91,346.0,0.22,0.0,2.22222,16.0934,0.0,102.383,-13.6396
2023-11-13 07:00:00+09:00,100.0,7.53,69.0,1028.0,9.76,347.0,0.0,0.0,1.66667,16.0934,0.0,110.502,-1.83518
2023-11-13 08:00:00+09:00,100.0,7.61,71.0,1029.0,9.54,354.0,0.0,0.0,1.11111,16.0934,1.0,119.437,9.32539
2023-11-13 09:00:00+09:00,100.0,7.56,71.0,1029.0,8.23,358.0,0.0,0.0,1.66667,16.0934,2.0,129.833,19.4604
2023-11-13 10:00:00+09:00,93.0,7.96,67.0,1029.0,7.37,4.0,0.0,0.0,1.66667,16.0934,2.0,142.34,28.0118
2023-11-13 11:00:00+09:00,92.0,8.81,61.0,1029.0,7.57,3.0,0.0,0.0,1.11111,16.0934,1.0,157.385,34.2103
2023-11-13 12:00:00+09:00,81.0,9.72,56.0,1029.0,8.07,354.0,0.0,0.0,0.555556,16.0934,1.0,174.598,37.1986
2023-11-13 13:00:00+09:00,78.0,10.28,54.0,1028.0,8.97,346.0,0.0,0.0,0.555556,16.0934,1.0,192.425,36.428
2023-11-13 14:00:00+09:00,75.0,10.45,55.0,1027.0,9.57,342.0,0.0,0.0,1.11111,16.0934,2.0,208.882,32.0501
2023-11-13 15:00:00+09:00,68.0,10.5,56.0,1027.0,9.45,345.0,0.0,0.0,1.11111,16.0934,2.0,222.882,24.7986
2023-11-13 16:00:00+09:00,30.0,10.38,57.0,1027.0,8.86,346.0,0.0,0.0,1.11111,16.0934,1.0,234.457,15.5272
2023-11-13 17:00:00+09:00,21.0,10.14,59.0,1028.0,8.29,345.0,0.0,0.0,1.11111,16.0934,0.0,244.171,4.92191
2023-11-13 18:00:00+09:00,23.0,9.86,61.0,1028.0,7.66,344.0,0.0,0.0,1.66667,16.0934,0.0,252.682,-6.53871
2023-11-13 19:00:00+09:00,25.0,9.75,62.0,1028.0,7.31,344.0,0.0,0.0,1.66667,16.0934,0.0,260.623,-18.5252
2023-11-13 20:00:00+09:00,32.0,9.71,63.0,1028.0,7.12,346.0,0.0,0.0,2.22222,16.0934,0.0,268.668,-30.7879
2023-11-13 21:00:00+09:00,32.0,9.64,64.0,1028.0,6.85,348.0,0.0,0.0,2.22222,16.0934,0.0,277.761,-43.0846
2023-11-13 22:00:00+09:00,93.0,9.68,64.0,1029.0,6.66,344.0,0.0,0.0,2.22222,16.0934,0.0,289.717,-55.0562
2023-11-13 23:00:00+09:00,66.0,9.65,65.0,1028.0,6.52,345.0,0.0,0.0,2.22222,16.0934,0.0,308.985,-65.8498
2023-11-14 00:00:00+09:00,47.0,9.57,65.0,1028.0,6.27,345.0,0.0,0.0,2.22222,16.0934,0.0,345.302,-72.7573
