time,cloud,temp,humidity,ground_press,wind_speed,wind_dir,rain,snow,dew_point,vis,uv_idx,azimuth,elevation
2023-11-16 01:00:00+09:00,100.0,11.25,63.0,1026.0,1.82,223.0,0.0,0.0,5.0,16.0934,0.0,32.267,-71.3295
2023-11-16 02:00:00+09:00,100.0,11.47,60.0,1026.0,2.37,213.0,0.0,0.0,5.0,16.0934,0.0,60.7944,-62.2513
2023-11-16 03:00:00+09:00,100.0,11.54,59.0,1026.0,2.55,232.0,0.0,0.0,4.44444,16.0934,0.0,76.2392,-50.7768
2023-11-16 04:00:00+09:00,100.0,11.44,60.0,1025.0,2.29,232.0,0.0,0.0,5.0,16.0934,0.0,86.6545,-38.6069
2023-11-16 05:00:00+09:00,100.0,11.54,62.0,1025.0,2.37,219.0,0.0,0.0,5.0,16.0934,0.0,95.1275,-26.3038
2023-11-16 06:00:00+09:00,100.0,11.64,64.0,1024.0,2.47,201.0,0.0,0.0,5.0,16.0934,0.0,103.004,-14.1517
2023-11-16 07:00:00+09:00,100.0,11.66,66.0,1024.0,3.09,191.0,0.0,0.0,5.0,16.0934,0.0,111.071,-2.38389
2023-11-16 08:00:00+09:00,100.0,11.74,68.0,1024.0,2.98,184.0,0.0,0.0,5.55556,16.0934,0.0,119.959,8.72703
2023-11-16 09:00:00+09:00,100.0,11.94,69.0,1024.0,3.25,206.0,0.4,0.0,5.55556,16.0934,1.0,130.293,18.802
2023-11-16 10:00:00+09:00,100.0,11.94,74.0,1023.0,4.9,249.0,0.98,0.0,6.11111,16.0934,1.0,142.699,27.2898
2023-11-16 11:00:00+09:00,100.0,12.44,70.0,1023.0,7.79,262.0,1.2,0.0,7.22222,16.0934,1.0,157.57,33.4375
2023-11-16 12:00:00+09:00,100.0,12.08,69.0,1022.0,7.47,261.0,0.71,0.0,7.77778,16.0934,1.0,174.54,36.4126
2023-11-16 13:00:00+09:00,100.0,11.76,74.0,1021.0,7.76,263.0,0.89,0.0,8.33333,9.65606,1.0,192.112,35.6828
2023-11-16 14:00:00+09:00,100.0,11.83,76.0,1020.0,7.47,263.0,0.34,0.0,8.33333,9.65606,1.0,208.383,31.3883
2023-11-16 15:00:00+09:00,100.0,12.37,72.0,1019.0,7.58,264.0,0.31,0.0,8.33333,16.0934,0.0,222.282,24.2339
2023-11-16 16:00:00+09:00,79.0,13.32,65.0,1019.0,9.09,267.0,0.26,0.0,8.33333,16.0934,0.0,233.809,15.0522
2023-11-16 17:00:00+09:00,59.0,13.27,66.0,1018.0,10.86,275.0,0.29,0.0,7.77778,16.0934,0.0,243.494,4.52067
2023-11-16 18:00:00+09:00,44.0,12.64,70.0,1019.0,11.22,281.0,0.5,0.0,7.77778,16.0934,0.0,251.974,-6.88402
2023-11-16 19:00:00+09:00,35.0,13.17,58.0,1019.0,10.97,288.0,0.28,0.0,7.77778,8.04672,0.0,259.863,-18.8326
2023-11-16 20:00:00+09:00,38.0,13.22,54.0,1018.0,9.38,283.0,0.0,0.0,7.22222,8.04672,0.0,267.82,-31.0775
2023-11-16 21:00:00+09:00,40.0,12.42,62.0,1018.0,10.89,284.0,0.4,0.0,6.66667,8.04672,0.0,276.769,-43.3827
2023-11-16 22:00:00+09:00,93.0,12.79,57.0,1018.0,11.65,284.0,0.22,0.0,6.66667,8.04672,0.0,288.492,-55.4067
2023-11-16 23:00:00+09:00,61.0,11.64,67.0,1018.0,11.95,293.0,0.21,0.0,6.66667,8.04672,0.0,307.481,-66.3375
2023-11-17 00:00:00+09:00,70.0,11.48,66.0,1018.0,11.59,300.0,0.41,0.0,6.66667,8.04672,0.0,344.31,-73.4824
