time,cloud,temp,humidity,ground_press,wind_speed,wind_dir,rain,snow,dew_point,vis,uv_idx,azimuth,elevation
2023-10-26 01:00:00+09:00,23.0,17.39,87.0,1018.0,0.07,340.0,0.0,0.0,15.0,1.62544,0.0,25.4244,-65.4712
2023-10-26 02:00:00+09:00,31.0,17.26,87.0,1018.0,0.56,97.0,0.0,0.0,14.4444,1.62544,0.0,51.9255,-57.6768
2023-10-26 03:00:00+09:00,41.0,17.01,88.0,1017.0,0.76,82.0,0.0,0.0,14.4444,1.62544,0.0,68.487,-46.966
2023-10-26 04:00:00+09:00,100.0,16.83,88.0,1017.0,1.33,83.0,0.0,0.0,13.8889,1.62544,0.0,80.0096,-35.1174
2023-10-26 05:00:00+09:00,97.0,16.61,88.0,1017.0,1.38,103.0,0.0,0.0,14.4444,1.62544,0.0,89.2503,-22.8664
2023-10-26 06:00:00+09:00,67.0,16.46,88.0,1017.0,1.29,132.0,0.0,0.0,14.4444,1.62544,0.0,97.6262,-10.5838
2023-10-26 07:00:00+09:00,69.0,16.4,88.0,1018.0,1.05,97.0,0.0,0.0,14.4444,1.62544,0.0,106.022,1.4613
2023-10-26 08:00:00+09:00,75.0,16.72,87.0,1018.0,1.4,121.0,0.0,0.0,15.0,1.62544,0.0,115.171,12.9837
2023-10-26 09:00:00+09:00,79.0,17.28,85.0,1018.0,0.92,115.0,0.0,0.0,15.0,1.62544,0.0,125.842,23.5944
2023-10-26 10:00:00+09:00,67.0,17.82,83.0,1018.0,0.5,140.0,0.0,0.0,15.0,1.62544,1.0,138.896,32.7029
2023-10-26 11:00:00+09:00,38.0,18.35,80.0,1018.0,1.19,234.0,0.0,0.0,14.4444,1.62544,4.0,155.044,39.4344
2023-10-26 12:00:00+09:00,26.0,18.98,77.0,1017.0,2.22,250.0,0.0,0.0,14.4444,1.62544,4.0,174.035,42.728
2023-10-26 13:00:00+09:00,20.0,19.4,74.0,1017.0,2.67,260.0,0.0,0.0,13.8889,1.62544,4.0,193.856,41.859
2023-10-26 14:00:00+09:00,16.0,19.7,72.0,1016.0,3.56,259.0,0.0,0.0,14.4444,1.62544,3.0,211.82,37.0347
2023-10-26 15:00:00+09:00,16.0,19.74,73.0,1016.0,3.7,259.0,0.0,0.0,14.4444,1.62544,2.0,226.646,29.2055
2023-10-26 16:00:00+09:00,4.0,19.55,76.0,1016.0,3.3,262.0,0.0,0.0,14.4444,16.0934,1.0,238.61,19.3916
2023-10-26 17:00:00+09:00,42.0,19.2,80.0,1015.0,2.96,256.0,0.0,0.0,15.5556,16.0934,0.0,248.543,8.34673
2023-10-26 18:00:00+09:00,28.0,18.66,84.0,1016.0,3.22,247.0,0.0,0.0,15.5556,16.0934,0.0,257.274,-3.43446
2023-10-26 19:00:00+09:00,26.0,18.47,87.0,1016.0,3.06,241.0,0.0,0.0,15.5556,16.0934,0.0,265.538,-15.6177
2023-10-26 20:00:00+09:00,37.0,18.37,88.0,1016.0,3.04,231.0,0.0,0.0,15.5556,16.0934,0.0,274.095,-27.9377
2023-10-26 21:00:00+09:00,46.0,18.31,88.0,1016.0,3.28,233.0,0.26,0.0,15.5556,16.0934,0.0,283.977,-40.107
2023-10-26 22:00:00+09:00,37.0,18.44,87.0,1015.0,3.7,231.0,0.0,0.0,15.5556,16.0934,0.0,297.011,-51.6628
2023-10-26 23:00:00+09:00,32.0,18.45,88.0,1015.0,4.01,233.0,0.0,0.0,16.1111,11.2654,0.0,316.871,-61.5753
2023-10-27 00:00:00+09:00,44.0,18.27,90.0,1014.0,4.35,248.0,0.2,0.0,16.1111,4.82803,0.0,348.603,-67.363
