time,model1,model2,model3,model4,model5
2023-11-12 01:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-12 02:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-12 03:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-12 04:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-12 05:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-12 06:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-12 07:00:00+09:00,0.0,0.0,0.0495892,0.0,0.0
2023-11-12 08:00:00+09:00,3.76883,2.9743,1.37591,0.848407,0.661949
2023-11-12 09:00:00+09:00,11.1589,10.6856,12.6283,8.07364,15.4378
2023-11-12 10:00:00+09:00,23.8032,23.0129,31.308,34.1884,33.979
2023-11-12 11:00:00+09:00,34.2943,31.2427,42.6572,42.304,33.2515
2023-11-12 12:00:00+09:00,49.2381,43.9331,51.6326,51.8095,37.3726
2023-11-12 13:00:00+09:00,50.572,51.196,56.7364,55.1319,36.3851
2023-11-12 14:00:00+09:00,44.8529,45.1092,53.4175,51.1289,35.5444
2023-11-12 15:00:00+09:00,39.7866,39.7157,48.3848,45.9898,32.4048
2023-11-12 16:00:00+09:00,32.6007,26.8578,32.1788,36.5407,11.3646
2023-11-12 17:00:00+09:00,12.0589,10.2745,7.22978,7.40393,1.71104
2023-11-12 18:00:00+09:00,1.96466,4.08103,0.136246,0.783915,0.0
2023-11-12 19:00:00+09:00,1.20459,0.0,0.0,0.253437,0.0
2023-11-12 20:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-12 21:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-12 22:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-12 23:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-13 00:00:00+09:00,0.0,0.0,0.0,0.0,0.0
