time,model1,model2,model3,model4,model5
2023-11-12 01:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-12 02:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-12 03:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-12 04:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-12 05:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-12 06:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-12 07:00:00+09:00,0.0,0.0,0.0132805,0.0,0.0
2023-11-12 08:00:00+09:00,3.27024,2.09521,0.124041,1.05893,0.0
2023-11-12 09:00:00+09:00,12.2616,10.4639,5.9364,9.7492,11.6622
2023-11-12 10:00:00+09:00,23.3039,22.6629,23.032,34.3953,30.6721
2023-11-12 11:00:00+09:00,32.1927,30.4314,31.8548,39.5485,33.8785
2023-11-12 12:00:00+09:00,51.4709,43.7806,38.9551,46.644,38.7137
2023-11-12 13:00:00+09:00,54.4428,52.8267,44.5173,48.1518,38.4939
2023-11-12 14:00:00+09:00,47.6453,46.9003,39.85,48.6409,39.6147
2023-11-12 15:00:00+09:00,42.1328,42.6414,36.5372,40.7224,33.8786
2023-11-12 16:00:00+09:00,30.4233,29.631,23.5498,35.9117,10.3468
2023-11-12 17:00:00+09:00,11.129,12.1752,5.35676,12.5937,0.0
2023-11-12 18:00:00+09:00,1.56473,5.18903,0.131051,3.55441,0.0
2023-11-12 19:00:00+09:00,0.679326,0.0,0.00111413,0.159187,0.0
2023-11-12 20:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-12 21:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-12 22:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-12 23:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-13 00:00:00+09:00,0.0,0.0,0.0,0.0,0.0
