time,model1,model2,model3,model4,model5
2023-10-22 01:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-10-22 02:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-10-22 03:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-10-22 04:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-10-22 05:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-10-22 06:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-10-22 07:00:00+09:00,0.841514,1.20416,0.0878894,1.93152,4.58343
2023-10-22 08:00:00+09:00,7.62887,12.3119,2.42405,9.10383,15.1635
2023-10-22 09:00:00+09:00,18.8742,19.9522,11.4435,32.1273,35.2529
2023-10-22 10:00:00+09:00,29.8729,28.2855,25.2713,43.7256,54.9665
2023-10-22 11:00:00+09:00,54.2329,51.9117,60.9244,56.6155,71.1675
2023-10-22 12:00:00+09:00,58.1459,57.0304,63.905,59.7572,78.7584
2023-10-22 13:00:00+09:00,61.9962,63.8504,68.9533,68.1528,83.2219
2023-10-22 14:00:00+09:00,58.7797,62.5546,67.1002,66.2365,73.1397
2023-10-22 15:00:00+09:00,49.3361,50.9424,51.6778,51.8644,61.7825
2023-10-22 16:00:00+09:00,31.0677,34.101,29.3722,29.6695,46.5721
2023-10-22 17:00:00+09:00,14.1046,15.8151,9.60656,14.0895,29.7516
2023-10-22 18:00:00+09:00,2.99848,8.07684,0.380665,3.27265,5.07943
2023-10-22 19:00:00+09:00,1.39895,2.41283,0.010307,0.197258,1.528
2023-10-22 20:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-10-22 21:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-10-22 22:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-10-22 23:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-10-23 00:00:00+09:00,0.0,0.0,0.0,0.0,0.0
