time,model1,model2,model3,model4,model5
2023-10-24 01:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-10-24 02:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-10-24 03:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-10-24 04:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-10-24 05:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-10-24 06:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-10-24 07:00:00+09:00,1.64229,0.0,0.100969,0.516706,0.0
2023-10-24 08:00:00+09:00,5.22587,3.91026,1.60164,2.62105,13.9726
2023-10-24 09:00:00+09:00,18.7246,15.7975,15.2242,9.95791,35.3661
2023-10-24 10:00:00+09:00,36.6701,38.2306,42.4514,39.3729,53.2449
2023-10-24 11:00:00+09:00,58.9019,52.1134,69.9784,49.9869,74.3323
2023-10-24 12:00:00+09:00,64.9959,59.8461,71.9406,65.0917,59.6877
2023-10-24 13:00:00+09:00,72.4657,68.7692,74.3275,68.8137,59.6036
2023-10-24 14:00:00+09:00,65.0231,62.9384,71.3283,60.9148,50.0764
2023-10-24 15:00:00+09:00,52.2427,51.345,59.2725,46.2061,24.6738
2023-10-24 16:00:00+09:00,36.822,36.4634,40.9852,32.259,23.4131
2023-10-24 17:00:00+09:00,18.7517,16.2721,17.9153,12.6378,18.794
2023-10-24 18:00:00+09:00,5.9022,7.49826,3.81902,2.11899,0.0
2023-10-24 19:00:00+09:00,1.69235,1.27365,0.035567,0.44576,0.0
2023-10-24 20:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-10-24 21:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-10-24 22:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-10-24 23:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-10-25 00:00:00+09:00,0.0,0.0,0.0,0.0,0.0
