time,model1,model2,model3,model4,model5
2023-11-13 01:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-13 02:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-13 03:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-13 04:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-13 05:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-13 06:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-13 07:00:00+09:00,0.0,0.0,0.0215305,0.614753,0.0
2023-11-13 08:00:00+09:00,1.98821,5.32375,2.12128,2.80031,0.0
2023-11-13 09:00:00+09:00,19.8243,21.0068,24.9274,22.5398,18.1384
2023-11-13 10:00:00+09:00,39.6659,34.8672,49.5594,41.8412,41.9235
2023-11-13 11:00:00+09:00,49.401,44.3247,58.8147,48.4771,48.0542
2023-11-13 12:00:00+09:00,56.3271,54.0739,64.948,62.0768,49.1146
2023-11-13 13:00:00+09:00,58.0176,55.4207,63.9477,62.3075,43.3151
2023-11-13 14:00:00+09:00,61.3166,59.1773,66.2462,59.4087,53.2125
2023-11-13 15:00:00+09:00,56.8989,51.9163,60.6968,49.8221,42.1504
2023-11-13 16:00:00+09:00,42.1901,40.1886,37.8302,40.0938,23.6144
2023-11-13 17:00:00+09:00,15.1685,17.0595,14.2824,14.9795,10.0882
2023-11-13 18:00:00+09:00,3.07123,6.51107,0.140091,0.0380406,0.0
2023-11-13 19:00:00+09:00,1.52415,0.0,0.0,0.0,0.0
2023-11-13 20:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-13 21:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-13 22:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-13 23:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-14 00:00:00+09:00,0.0,0.0,0.0,0.0,0.0
