time,model1,model2,model3,model4,model5
2023-11-06 01:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-06 02:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-06 03:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-06 04:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-06 05:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-06 06:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-06 07:00:00+09:00,0.328762,0.0,0.0762246,0.0,19.5472
2023-11-06 08:00:00+09:00,1.57369,0.0,0.158345,0.0,34.4544
2023-11-06 09:00:00+09:00,3.59099,1.46048,7.50731,2.77379,49.231
2023-11-06 10:00:00+09:00,14.8705,12.9526,22.1823,16.2372,61.971
2023-11-06 11:00:00+09:00,25.3774,19.004,31.7126,17.6933,76.9867
2023-11-06 12:00:00+09:00,39.184,32.3443,36.0655,20.196,79.971
2023-11-06 13:00:00+09:00,41.6465,35.4567,47.2211,22.3534,80.8711
2023-11-06 14:00:00+09:00,40.4283,40.8101,38.5677,20.545,80.0102
2023-11-06 15:00:00+09:00,35.5139,34.1599,29.8092,16.1479,67.3026
2023-11-06 16:00:00+09:00,29.4332,27.8432,17.5496,22.4297,61.3671
2023-11-06 17:00:00+09:00,13.4331,10.1972,5.65855,6.28447,39.88
2023-11-06 18:00:00+09:00,3.85405,3.43133,0.141414,0.0,32.115
2023-11-06 19:00:00+09:00,2.87057,0.0,0.00537086,0.0,32.921
2023-11-06 20:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-06 21:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-06 22:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-06 23:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-07 00:00:00+09:00,0.0,0.0,0.0,0.0,0.0
