time,model1,model2,model3,model4,model5
2023-11-14 01:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-14 02:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-14 03:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-14 04:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-14 05:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-14 06:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-14 07:00:00+09:00,0.242985,2.53159,0.0618823,0.38301,0.0
2023-11-14 08:00:00+09:00,4.98215,10.6229,3.21474,1.65962,0.0
2023-11-14 09:00:00+09:00,18.324,27.547,23.9261,21.099,15.8295
2023-11-14 10:00:00+09:00,26.4553,28.7269,26.9918,37.441,35.845
2023-11-14 11:00:00+09:00,37.3312,37.8693,33.9316,48.7965,40.4892
2023-11-14 12:00:00+09:00,43.1741,42.7049,40.2601,55.1451,36.295
2023-11-14 13:00:00+09:00,44.0275,43.5012,43.8178,60.2996,27.9699
2023-11-14 14:00:00+09:00,41.1455,40.8812,44.4298,60.1996,34.5251
2023-11-14 15:00:00+09:00,33.1158,27.4239,36.6794,35.1507,26.8127
2023-11-14 16:00:00+09:00,29.2833,23.1077,25.8698,25.8798,9.26992
2023-11-14 17:00:00+09:00,12.9585,12.279,12.8619,11.6725,0.0
2023-11-14 18:00:00+09:00,3.11771,4.95677,0.18012,1.63407,0.0
2023-11-14 19:00:00+09:00,3.26813,0.334103,0.00761867,0.800962,0.0
2023-11-14 20:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-14 21:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-14 22:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-14 23:00:00+09:00,0.0,0.0,0.0,0.0,0.0
2023-11-15 00:00:00+09:00,0.0,0.0,0.0,0.0,0.0
