m0,m1,m2,m3,cloud,temp,humidity,ground_press,wind_speed,wind_dir,rain,snow,dew_point,vis,uv_idx,azimuth,elevation,month,day,hour,year
0,0,0,0,7,19.95,94,1009,2.65,152,0,0,18.3333,16.0934,0,6.70428,-31.5296,6,19,1,2022
0,0,0,0,24,20.15,94,1009,2.55,148,0,0,18.3333,16.0934,0,22.1964,-28.4404,6,19,2,2022
0,0,0,0,36,20.23,95,1009,2.6,158,0,0,18.3333,16.0934,0,35.9194,-22.4374,6,19,3,2022
0,0,0,0,95,20.35,95,1008,2.84,164,0,0,17.7778,16.0934,0,47.5577,-14.2214,6,19,4,2022
0,0,0,0,97,20.43,96,1009,3.06,163,0,0,18.3333,16.0934,0,57.3782,-4.4447,6,19,5,2022
0,0,0,0,98,20.35,96,1009,2.6,158,0,0,18.8889,16.0934,0,65.8614,6.39544,6,19,6,2022
2.32866,7.14615,2.36209,1.09129,99,20.61,95,1009,2.53,147,0,0,19.4444,16.0934,0,73.5196,17.9461,6,19,7,2022
13.5542,12.8088,9.22374,8.21194,99,20.89,94,1009,3.16,169,0,0,19.4444,16.0934,1,80.8871,29.9536,6,19,8,2022
18.6252,18.8077,17.3242,16.2964,99,21.33,92,1009,3.21,172,0,0,18.8889,16.0934,1,88.6491,42.2134,6,19,9,2022
31.074,32.0697,31.0315,22.4883,100,21.72,90,1009,3.44,199,0,0,18.3333,16.0934,3,98.0436,54.5033,6,19,10,2022
41.4121,47.809,45.8966,31.5627,82,21.91,88,1008,2.36,208,0,0,18.3333,16.0934,5,112.342,66.4014,6,19,11,2022
56.4874,54.4961,51.5485,43.3967,66,22.78,83,1008,2.4,204,0,0,18.3333,16.0934,11,143.612,76.3123,6,19,12,2022
60.1034,57.5034,57.3383,50.6172,56,23.85,79,1007,3.25,188,0,0,17.7778,16.0934,11,207.104,77.44,6,19,13,2022
57.0286,58.1305,62.8745,54.1898,46,24.5,77,1006,3.11,172,0,0,18.8889,16.0934,8,244.082,68.3532,6,19,14,2022
55.8605,58.2186,62.5869,50.115,39,24.75,76,1006,3.84,175,0,0,18.3333,16.0934,5,259.989,56.6154,6,19,15,2022
47.2487,54.8315,64.4889,57.0652,3,24.59,77,1006,4.48,165,0,0,18.3333,16.0934,3,269.895,44.3523,6,19,16,2022
37.8487,41.6558,52.5075,47.3258,3,24.49,77,1006,4.79,161,0,0,18.3333,16.0934,2,277.825,32.07,6,19,17,2022
21.9951,26.2254,36.2523,28.4066,3,23.96,78,1006,5.64,155,0,0,18.8889,16.0934,1,285.204,20.0055,6,19,18,2022
8.06211,8.59842,14.8883,8.32539,18,22.92,83,1006,5.12,150,0,0,18.8889,16.0934,0,292.772,8.36063,6,19,19,2022
0,0,0,0,17,22.13,86,1006,4.05,139,0,0,18.8889,16.0934,0,301.076,-2.62317,6,19,20,2022
0,0,0,0,14,21.43,90,1006,3.46,118,0,0,18.8889,16.0934,0,310.629,-12.6137,6,19,21,2022
0,0,0,0,1,21.07,93,1006,3.16,110,0,0,19.4444,16.0934,0,321.922,-21.141,6,19,22,2022
0,0,0,0,13,20.88,94,1006,3.1,93,0,0,18.8889,16.0934,0,335.283,-27.5771,6,19,23,2022
0,0,0,0,15,20.76,94,1006,2.95,76,0,0,18.8889,16.0934,0,350.525,-31.2142,6,20,0,2022
0,0,0,0,2,20.71,89,1006,1.04,40,0,0,21.1111,16.0934,0,6.64429,-31.5196,6,20,1,2022
0,0,0,0,2,20.52,90,1006,0.92,66,0,0,20.5556,14.7416,0,22.1373,-28.4431,6,20,2,2022
0,0,0,0,17,20.41,90,1005,0.98,95,0,0,20.5556,13.4058,0,35.8651,-22.4511,6,20,3,2022
0,0,0,0,99,20.48,90,1005,1.16,89,0,0,20.5556,12.0701,0,47.5093,-14.2435,6,20,4,2022
0,0,0,0,94,20.54,90,1005,1.56,61,0,0,20,10.7182,0,57.3346,-4.47298,6,20,5,2022
0,0,0,0,93,20.63,90,1006,1.86,48,0,0,20.5556,9.38248,0,65.8211,6.36272,6,20,6,2022
1.90703,4.9997,3.32542,4.64008,89,21.02,88,1006,2.07,41,0,0,21.1111,8.04672,0,73.4805,17.9103,6,20,7,2022
12.1641,10.5095,13.16,13.5244,79,21.56,85,1006,1.91,49,0,0,20.5556,8.04672,1,80.8466,29.9158,6,20,8,2022
18.4057,17.3735,24.5345,22.3734,81,22.3,83,1006,1.45,36,0,0,20,8.04672,1,88.6034,42.1746,6,20,9,2022
30.5199,31.2058,34.1956,27.6666,35,22.91,81,1005,1.08,6,0,0,18.8889,8.04672,2,97.9845,54.465,6,20,10,2022
35.2979,41.5171,54.552,48.2271,25,23.48,79,1005,1.44,298,0,0,18.3333,8.04672,3,112.247,66.3671,6,20,11,2022
41.0911,51.555,58.5519,39.4471,17,23.61,79,1005,2.54,269,0,0,18.8889,8.04672,3,143.407,76.296,6,20,12,2022
